stock_symbol,timestamp,open,high,low,close,volume
MSFT,2024-05-30 09:39:00,422.1,422.68,422.1,422.545,107229
MSFT,2024-05-30 09:38:00,420.77,422.1,420.77,422.1,133247
MSFT,2024-05-30 09:37:00,421.075,421.44,420.63,420.81,152516
MSFT,2024-05-30 09:36:00,421.59,421.62,420.678,421.095,133583
MSFT,2024-05-30 09:35:00,421.46,421.96,420.93,421.54,151479
MSFT,2024-05-30 09:34:00,422.22,422.32,421.175,421.46,213594
MSFT,2024-05-30 09:33:00,423.17,423.27,422.19,422.25,168215
MSFT,2024-05-30 09:32:00,423.7,423.7,422.887,423.13,192898
MSFT,2024-05-30 09:31:00,423.92,424.07,423.5,423.81,107150
MSFT,2024-05-30 09:30:00,424.3,424.3,423.14,423.87,508697
MSFT,2024-05-30 09:29:00,424.0,424.15,423.85,424.03,5246
MSFT,2024-05-30 09:28:00,424.03,424.11,423.5,423.96,6350
MSFT,2024-05-30 09:27:00,424.86,425.01,423.65,424.03,12837
MSFT,2024-05-30 09:26:00,424.9,425.0,424.53,424.84,4043
MSFT,2024-05-30 09:25:00,424.56,425.0,424.56,424.9,1216
MSFT,2024-05-30 09:24:00,424.63,424.85,424.5,424.535,3190
MSFT,2024-05-30 09:23:00,424.613,424.75,424.5,424.62,832
MSFT,2024-05-30 09:22:00,424.45,424.75,424.45,424.61,2191
MSFT,2024-05-30 09:21:00,424.45,424.55,424.32,424.495,1070
MSFT,2024-05-30 09:20:00,424.32,424.55,424.32,424.54,1369
MSFT,2024-05-30 09:19:00,424.36,424.36,424.16,424.275,504
MSFT,2024-05-30 09:18:00,424.21,424.55,424.11,424.33,1290
MSFT,2024-05-30 09:17:00,424.14,424.3,424.11,424.21,365
MSFT,2024-05-30 09:16:00,424.15,424.2,423.98,424.13,863
MSFT,2024-05-30 09:15:00,424.005,424.15,424.0,424.13,107
MSFT,2024-05-30 09:14:00,424.16,424.293,424.0,424.15,2453
MSFT,2024-05-30 09:13:00,424.08,424.3,423.85,424.2,2950
MSFT,2024-05-30 09:12:00,424.23,424.3,424.08,424.1,1087
MSFT,2024-05-30 09:11:00,424.17,424.5,424.16,424.23,1195
MSFT,2024-05-30 09:10:00,423.87,424.5,423.87,424.28,1606
MSFT,2024-05-30 09:09:00,423.935,424.02,423.85,424.02,950
MSFT,2024-05-30 09:08:00,423.855,424.0,423.7,423.935,1757
MSFT,2024-05-30 09:07:00,424.275,424.43,423.86,423.86,5449
MSFT,2024-05-30 09:06:00,424.33,424.55,424.19,424.275,1382
MSFT,2024-05-30 09:05:00,424.2,424.56,424.2,424.362,359
MSFT,2024-05-30 09:04:00,424.553,424.553,424.19,424.205,6233
MSFT,2024-05-30 09:03:00,424.411,424.57,424.4,424.567,2313
MSFT,2024-05-30 09:02:00,424.405,424.48,424.4,424.479,707
MSFT,2024-05-30 09:01:00,424.3,424.43,424.24,424.43,435
MSFT,2024-05-30 09:00:00,424.2,424.4,424.2,424.22,754
MSFT,2024-05-30 08:59:00,424.16,424.43,424.1,424.4,427
MSFT,2024-05-30 08:58:00,424.06,424.259,424.03,424.1,1106
MSFT,2024-05-30 08:57:00,424.15,424.2,424.03,424.06,1794
MSFT,2024-05-30 08:56:00,424.38,424.43,424.11,424.12,2993
MSFT,2024-05-30 08:55:00,424.5,424.52,424.377,424.42,492
MSFT,2024-05-30 08:54:00,424.48,424.57,424.44,424.47,98
MSFT,2024-05-30 08:53:00,424.57,424.57,424.36,424.48,307
MSFT,2024-05-30 08:52:00,424.48,424.57,424.36,424.57,401
MSFT,2024-05-30 08:51:00,424.555,424.58,424.36,424.465,1284
MSFT,2024-05-30 08:50:00,424.68,424.75,424.36,424.48,1832
MSFT,2024-05-30 08:49:00,424.79,424.79,424.51,424.51,645
MSFT,2024-05-30 08:48:00,424.68,424.79,424.62,424.71,849
MSFT,2024-05-30 08:47:00,424.89,425.0,424.63,424.63,1307
MSFT,2024-05-30 08:46:00,424.8,424.89,424.695,424.89,431
MSFT,2024-05-30 08:45:00,424.98,425.0,424.8,424.8,3776
MSFT,2024-05-30 08:44:00,424.85,425.0,424.82,424.9,1028
MSFT,2024-05-30 08:43:00,424.85,425.0,424.7,424.9,541
MSFT,2024-05-30 08:42:00,424.68,425.0,424.65,424.7,786
MSFT,2024-05-30 08:41:00,424.72,424.98,424.51,424.77,201
MSFT,2024-05-30 08:40:00,424.5,424.72,424.39,424.62,1176
MSFT,2024-05-30 08:39:00,424.63,424.73,424.35,424.585,1853
MSFT,2024-05-30 08:38:00,424.98,425.0,424.58,424.73,4737
MSFT,2024-05-30 08:37:00,424.98,425.0,424.85,424.96,2057
MSFT,2024-05-30 08:36:00,424.92,425.0,424.85,425.0,642
MSFT,2024-05-30 08:35:00,424.815,425.0,424.79,424.93,489
MSFT,2024-05-30 08:34:00,424.93,425.0,424.66,424.797,997
MSFT,2024-05-30 08:33:00,425.0,425.0,424.86,424.9,1064
MSFT,2024-05-30 08:32:00,424.97,425.0,424.793,424.96,1497
MSFT,2024-05-30 08:31:00,424.85,425.0,416.56,425.0,987
MSFT,2024-05-30 08:30:00,424.72,429.975,424.68,425.0,13252
MSFT,2024-05-30 08:29:00,424.74,424.74,424.65,424.712,893
MSFT,2024-05-30 08:28:00,424.65,425.0,424.65,424.7,350
MSFT,2024-05-30 08:27:00,424.72,425.0,424.65,424.8,376
MSFT,2024-05-30 08:26:00,424.824,425.0,424.73,424.74,1296
MSFT,2024-05-30 08:25:00,424.939,428.54,424.8,424.85,318
MSFT,2024-05-30 08:24:00,424.9,424.981,424.8,424.87,791
MSFT,2024-05-30 08:23:00,424.905,424.98,424.9,424.92,69
MSFT,2024-05-30 08:22:00,425.0,425.0,424.81,425.0,340
MSFT,2024-05-30 08:21:00,424.905,425.0,424.905,425.0,2501
MSFT,2024-05-30 08:20:00,424.9,425.0,424.9,425.0,182
MSFT,2024-05-30 08:19:00,424.88,425.0,424.8,424.9,332
MSFT,2024-05-30 08:18:00,424.86,429.17,424.72,424.89,2623
MSFT,2024-05-30 08:17:00,424.74,424.99,424.74,424.9,665
MSFT,2024-05-30 08:16:00,424.87,425.0,424.8,425.0,2788
MSFT,2024-05-30 08:15:00,424.88,429.17,424.753,424.88,719
MSFT,2024-05-30 08:14:00,425.0,425.0,424.69,425.0,3905
MSFT,2024-05-30 08:13:00,425.289,425.3,424.94,424.996,2757
MSFT,2024-05-30 08:12:00,425.5,425.5,425.25,425.299,760
MSFT,2024-05-30 08:11:00,425.5,425.5,425.3,425.5,28
MSFT,2024-05-30 08:10:00,425.482,425.5,425.32,425.44,790
MSFT,2024-05-30 08:09:00,425.425,425.5,425.35,425.425,72
MSFT,2024-05-30 08:08:00,425.4,425.5,425.322,425.5,551
MSFT,2024-05-30 08:07:00,425.35,425.4,425.312,425.398,133
MSFT,2024-05-30 08:06:00,424.91,425.4,423.38,425.35,2021
MSFT,2024-05-30 08:05:00,424.01,429.17,423.35,424.6,1584
MSFT,2024-05-30 08:04:00,424.75,425.3,423.87,424.0,1656
MSFT,2024-05-30 08:03:00,429.17,429.17,423.38,424.77,1072
MSFT,2024-05-30 08:02:00,425.29,429.17,423.36,429.17,2187
MSFT,2024-05-30 08:01:00,425.01,429.17,424.38,425.2,546
MSFT,2024-05-30 08:00:00,425.75,429.17,424.952,429.17,16908
MSFT,2024-05-30 07:59:00,425.22,425.26,425.22,425.26,10
MSFT,2024-05-30 07:58:00,425.11,425.21,425.1,425.19,363
MSFT,2024-05-30 07:56:00,425.19,425.22,425.0,425.01,549
MSFT,2024-05-30 07:55:00,425.24,425.24,425.1,425.22,708
MSFT,2024-05-30 07:54:00,425.34,425.34,425.2,425.29,1153
